"work","start book","end book","start verse","end verse",speaker,"speaker gender","speaker ontology",addressee,"addressee gender","addressee ontology","speaker to addresse relationship","verb of speaking","verse number of verb of speaking","speech genre","type of speech represented",Notes,Questions
Il.,1,1,332,332,"Talthybius, Eurybates",Male,Mortal,Achilles,Male,Demigod,,προσεφώνεον,332,,"speech mention","The narrator notes that Talthybius, Eurybates said nothing",
Il.,1,1,332,332,"Talthybius, Eurybates",Male,Mortal,Achilles,Male,Demigod,,ἐρέοντο,332,,"speech mention","The narrator notes that Talthybius, Eurybates asked nothing",
Il.,1,1,334,336,Achilles,Male,Mortal,"Talthybius, Eurybates",Male,Mortal,,φρεσὶ,333,greetings,"direct quotation",,
Il.,1,1,337,344,Achilles,Male,Mortal,Patroclus,Male,Mortal,,φρεσὶ,333,command,"direct quotation",,
Il.,1,1,352,356,Achilles,Male,Mortal,Thetis,Female,Goddess,mother,ἠρήσατο,351,prayer,"direct quotation",,
Il.,1,1,362,363,Nereus,Male,God,Achilles,Male,Demigod,,ἔφατ᾽,361,question,"direct quotation",,
Il.,1,1,365,412,Achilles,Male,Demigod,"Nereus, Thetis","Male, Female","God, Goddess",,προσέφη,364,"descriptiong, telling a story","direct quotation","Achilles summarizes the entire book until this point",
Il.,1,1,365,365,Achilles,Male,Demigod,"Nereus, Thetis","Male, Female","God, Goddess",,ἀγορεύω,365,,"indirect speech",,
Il.,1,1,376,377,Achaeans,Male,Mortal,,,,,ἐπευφήμησαν,376,,"indirect speech","Achilles retells that the Achaeans shouted ",
Il.,1,1,384,385,Calchas,Male,Mortal,Achaeans,Male,Mortal,,ἀγόρευε,385,declaration,"indirect speech","Achilles retells the declaration of the oracle Calchas.",
Il.,1,1,386,386,Achilles,Male,Mortal,Achaeans,Male,Mortal,,κελόμην,386,urging,"indirect speech","Achilles retells his own urging of the Achaeans.",
Il.,1,1,395,395,Achilles,Male,Mortal,"Nereus, Thetis","Male, Female","God, Goddess",,ἔργῳ,395,begging,"speech mention","Achilles asks Nereus and Thetis to beg Zeus.",
Il.,1,1,397,400,Thetis,Female,Godess,,,,,εύχομένης,397,boast,"indirect speech","Achilles retells Nereus' boasting","Who is talking?"
Il.,1,1,402,402,Thetis,Female,Goddess,"Briareus (Aegaeon)",Male,"Giant, God",,καλέσασ᾽,402,call,"speech mention","Achilles notes that Thetis called to Briareus, but does not describe the speech.",
Il.,1,1,414,427,Thetis,Female,Goddess,Achilles,Male,Demigod,son,ἠμείβετ᾽,413,order,"direct quotation",,
Il.,1,1,442,445,Odysseus,Male,Mortal,"Chryses, Agamemnon",Male,Mortal,,προσέειπεν,441,"suggestion ","direct quotation",,
Il.,1,1,451,456,Chryses,Male,Mortal,Apollo,Male,God,,εὔχετο,450,prayer,"direct quotation",,
Il.,1,1,453,453,Chryses,Male,Mortal,Apollo,Male,God,,εὔξαμένοιο,454,prayer,"speech mention","Chryses refers to his past prayer, but does not describe its content",
Il.,1,1,503,510,Thetis,Female,Goddess,Zeus,Male,God,superior,προσέειπε,502,begging,"direct quotation",,
Il.,1,1,514,516,Thetis,Female,Goddess,Zeus,Male,God,superior,εἴρετο,513,begging,"direct quotation",,
Il.,1,1,518,527,Zeus,Male,"God ",Thetis,Female,Goddess,subordinate,προσέφη,517,promise,"direct quotation",,
Il.,1,1,519,519,Hera,Female,Goddess,Zeus,Male,God,husband,ἐρέθῃσιν,519,taunt,"speech mention","Zeus tells of Hero angering him, without mentioning the content of the speech",
Il.,1,1,520,521,Hera,Female,Goddess,Zeus,Male,God,husband,φησι,521,complaint,"indirect speech",,
Il.,1,1,540,543,Hera,Female,Goddess,Zeus,Male,God,husband,προσηύδα,539,accusation,"direct quotation",,
Il.,1,1,545,550,Zeus,Male,"God ",Hera,Female,Goddess,wife,ἠμείβετ᾽,544,"assurance, order","direct quotation",,
Il.,1,1,552,559,Hera,Female,Goddess,Zeus,Male,God,husband,ἠμείβετ᾽,551,accusation,"direct quotation",,
Il.,1,1,552,552,Hera,Female,Goddess,Zeus,Male,God,husband,ἔειπες,552,question,"speech mention","Hera declares that she has never in the past questioned Zeus, but the content of these questions are not described",
Il.,1,1,561,567,Zeus,Male,"God ",Hera,Female,Goddess,wife,προσέφη,560,"outburst, threat","direct quotation",,
Il.,1,1,573,583,Hephaestus,Male,"God ",Hera,Female,Goddess,mother,ἀγορεύειν,571,"consolation, advice","direct quotation",,
Il.,1,1,582,582,Hera,Female,Goddess,Zeus,Male,"God ",husband,καθάπτεσθαι,582,,"speech mention","Hephaestus tells Hera to speak to Zeus with gentle words - possible parallel to Athena telling Achilles to speak to Agamemnon with taunting words?",
Il.,1,1,586,594,Hephaestus,Male,"God ",Hera,Female,Goddess,mother,προσέειπε,585,comfort,"direct quotation",,
